Bookmaker,Date,Start Time (UTC),Home Team Unparse,Away Team Unparse,Home Odd,Draw Odd,Away Odd,scrapping_time,Date Unparse,Sport,Home Team Std,Away Team Std
Zebet,2025-01-07,2025-01-07T03:00:00Z,CLR Avalanche,FLO Panthers,2.2,4.05,2.6,2025-01-06 11:22:44,Demain à 03h00,,COL - Colorado Avalanche,FLA - Florida Panthers
Zebet,2025-01-07,2025-01-07T04:00:00Z,SEA Kraken,NJ Devils,3.4,4.2,1.8,2025-01-06 11:22:44,Demain à 04h00,,SEA - Seattle Kraken,NJD - New Jersey Devils
Netbet,,,Buffalo Sabres,Washington Capitals,2.82,4.1,2.02,2025-01-06 11:23:22,mar. 7 janv. 01:00,,BUF - Buffalo Sabres,WSH - Washington Capitals
Netbet,,,Montreal Canadiens,Vancouver Canucks,2.65,4.0,2.15,2025-01-06 11:23:22,mar. 7 janv. 01:30,,MTL - Montreal Canadiens,VAN - Vancouver Canucks
Netbet,,,Colorado Avalanche,Florida Panthers,2.2,4.0,2.57,2025-01-06 11:23:22,mar. 7 janv. 03:00,,COL - Colorado Avalanche,FLA - Florida Panthers
Netbet,,,Seattle Kraken,New Jersey Devils,3.45,4.2,1.77,2025-01-06 11:23:22,mar. 7 janv. 04:00,,SEA - Seattle Kraken,NJD - New Jersey Devils
Winamax,2025-01-07,2025-01-07T01:05:00Z,Buffalo Sabres,Washington Capitals,2.8,4.0,1.96,2025-01-06 13:18:30,Demain à 01:05,,BUF - Buffalo Sabres,WSH - Washington Capitals
Winamax,2025-01-07,2025-01-07T01:35:00Z,Montreal Canadiens,Vancouver Canucks,2.6,3.9,2.1,2025-01-06 13:18:30,Demain à 01:35,,MTL - Montreal Canadiens,VAN - Vancouver Canucks
Winamax,2025-01-07,2025-01-07T03:05:00Z,Colorado Avalanche,Florida Panthers,2.15,3.9,2.5,2025-01-06 13:18:30,Demain à 03:05,,COL - Colorado Avalanche,FLA - Florida Panthers
Winamax,2025-01-07,2025-01-07T04:05:00Z,Seattle Kraken,New Jersey Devils,3.25,4.0,1.76,2025-01-06 13:18:30,Demain à 04:05,,SEA - Seattle Kraken,NJD - New Jersey Devils
Zebet,2025-01-07,2025-01-07T01:00:00Z,BUF Sabres,WAS Capitals,2.9,4.15,2.05,2025-01-06 13:18:30,Demain à 01h00,,BUF - Buffalo Sabres,WSH - Washington Capitals
Zebet,2025-01-07,2025-01-07T01:30:00Z,MON Canadiens,VAN Canucks,2.65,4.0,2.15,2025-01-06 13:18:30,Demain à 01h30,,MTL - Montreal Canadiens,VAN - Vancouver Canucks
Zebet,2025-01-07,2025-01-07T03:00:00Z,CLR Avalanche,FLO Panthers,2.2,4.0,2.6,2025-01-06 13:18:30,Demain à 03h00,,COL - Colorado Avalanche,FLA - Florida Panthers
Zebet,2025-01-07,2025-01-07T04:00:00Z,SEA Kraken,NJ Devils,3.35,4.2,1.8,2025-01-06 13:18:30,Demain à 04h00,,SEA - Seattle Kraken,NJD - New Jersey Devils
Netbet,,,Buffalo Sabres,Washington Capitals,2.87,4.1,2.0,2025-01-06 13:19:31,mar. 7 janv. 01:00,,BUF - Buffalo Sabres,WSH - Washington Capitals
Netbet,,,Montreal Canadiens,Vancouver Canucks,2.65,4.0,2.15,2025-01-06 13:19:31,mar. 7 janv. 01:30,,MTL - Montreal Canadiens,VAN - Vancouver Canucks
